"","sqrt_LMA_gDW_m2.10.comps"
"(Intercept)",7.88714219048004
"Wave_500",0.868684991275949
"Wave_501",0.827411772264461
"Wave_502",0.76913833409557
"Wave_503",0.74689931164794
"Wave_504",0.71766859824602
"Wave_505",0.691715343210428
"Wave_506",0.675234108540895
"Wave_507",0.673024620974464
"Wave_508",0.660256026340746
"Wave_509",0.647749744067181
"Wave_510",0.638020106674685
"Wave_511",0.629939935630028
"Wave_512",0.626607677234941
"Wave_513",0.623360312507668
"Wave_514",0.6134552983146
"Wave_515",0.602633862909345
"Wave_516",0.593479826761596
"Wave_517",0.587678736698296
"Wave_518",0.569423817677478
"Wave_519",0.53948833694743
"Wave_520",0.511936182829732
"Wave_521",0.486259534814679
"Wave_522",0.459483839709623
"Wave_523",0.421544118159041
"Wave_524",0.381563484977602
"Wave_525",0.319866413310284
"Wave_526",0.256363439401726
"Wave_527",0.200772151676554
"Wave_528",0.129027212154091
"Wave_529",0.0637999324082103
"Wave_530",0.025486831281866
"Wave_531",-0.00438573614376479
"Wave_532",-0.0437968061906791
"Wave_533",-0.087899154075502
"Wave_534",-0.127031153674631
"Wave_535",-0.143769030508765
"Wave_536",-0.155327059537449
"Wave_537",-0.16364418585352
"Wave_538",-0.172318930310407
"Wave_539",-0.182130921937834
"Wave_540",-0.186027876801461
"Wave_541",-0.189939059742624
"Wave_542",-0.184491452812745
"Wave_543",-0.178767327147149
"Wave_544",-0.173843474424856
"Wave_545",-0.172573838275795
"Wave_546",-0.179978345005935
"Wave_547",-0.192084210613323
"Wave_548",-0.20141377992645
"Wave_549",-0.205078452864826
"Wave_550",-0.225354806370098
"Wave_551",-0.244135029430197
"Wave_552",-0.261602942376266
"Wave_553",-0.280411927885712
"Wave_554",-0.296290965225347
"Wave_555",-0.304740511610407
"Wave_556",-0.320284818784439
"Wave_557",-0.338448267964202
"Wave_558",-0.351914519878444
"Wave_559",-0.371113730848416
"Wave_560",-0.390965739022368
"Wave_561",-0.406215162998045
"Wave_562",-0.414159829591017
"Wave_563",-0.420718988410476
"Wave_564",-0.416468087104699
"Wave_565",-0.403849436007625
"Wave_566",-0.401829345856353
"Wave_567",-0.402040985773155
"Wave_568",-0.387056750653913
"Wave_569",-0.362349573351221
"Wave_570",-0.358166467116352
"Wave_571",-0.337589535223965
"Wave_572",-0.311146343286034
"Wave_573",-0.28738604459175
"Wave_574",-0.278168703115237
"Wave_575",-0.260472637802625
"Wave_576",-0.230087995594676
"Wave_577",-0.209559726870646
"Wave_578",-0.198839978726758
"Wave_579",-0.17418728193784
"Wave_580",-0.148436021357792
"Wave_581",-0.134231623175169
"Wave_582",-0.113786969528807
"Wave_583",-0.0936797410388033
"Wave_584",-0.0712354693051418
"Wave_585",-0.047943631274028
"Wave_586",-0.029124727337138
"Wave_587",-0.00768520023422351
"Wave_588",0.0113036722407748
"Wave_589",0.0270391727673806
"Wave_590",0.0478340104837742
"Wave_591",0.0652685766196751
"Wave_592",0.0894907332699735
"Wave_593",0.114107863041812
"Wave_594",0.131873312022106
"Wave_595",0.150696626754487
"Wave_596",0.167955609028869
"Wave_597",0.183050037284588
"Wave_598",0.197554043227826
"Wave_599",0.204046038420985
"Wave_600",0.211760102719817
"Wave_601",0.219890808248927
"Wave_602",0.225424737451062
"Wave_603",0.219965439128787
"Wave_604",0.210098414515886
"Wave_605",0.20050049803763
"Wave_606",0.188873871833792
"Wave_607",0.177148297141277
"Wave_608",0.166412823488849
"Wave_609",0.153378464095627
"Wave_610",0.138869977211974
"Wave_611",0.122680217047113
"Wave_612",0.107754831598966
"Wave_613",0.0956040166139004
"Wave_614",0.0874698375808385
"Wave_615",0.0795237007564699
"Wave_616",0.0785544036652582
"Wave_617",0.0799512487830709
"Wave_618",0.0861959890790837
"Wave_619",0.0927575049238042
"Wave_620",0.0974511378466939
"Wave_621",0.102680874333406
"Wave_622",0.116301702050118
"Wave_623",0.123272711137068
"Wave_624",0.129151332878401
"Wave_625",0.137775265775276
"Wave_626",0.14255392457246
"Wave_627",0.145419667701008
"Wave_628",0.140547927296373
"Wave_629",0.128324566809086
"Wave_630",0.113074492530678
"Wave_631",0.0960311076381048
"Wave_632",0.0945535475195199
"Wave_633",0.103802471540191
"Wave_634",0.11192077556834
"Wave_635",0.125493074953241
"Wave_636",0.143438430450404
"Wave_637",0.165569352691711
"Wave_638",0.199117481361942
"Wave_639",0.239340466517142
"Wave_640",0.279200334700022
"Wave_641",0.32300228310047
"Wave_642",0.362184070972286
"Wave_643",0.392943441477925
"Wave_644",0.434631952629692
"Wave_645",0.478523024486917
"Wave_646",0.513055277726285
"Wave_647",0.538703842953966
"Wave_648",0.572854836271774
"Wave_649",0.586706355210255
"Wave_650",0.590076586310231
"Wave_651",0.58205657996211
"Wave_652",0.566180472391193
"Wave_653",0.546769681016963
"Wave_654",0.517738744618237
"Wave_655",0.48032361918532
"Wave_656",0.436772118759116
"Wave_657",0.397583557173152
"Wave_658",0.35952036553656
"Wave_659",0.309918457728484
"Wave_660",0.275246714736456
"Wave_661",0.24019280010158
"Wave_662",0.203220999662225
"Wave_663",0.177737146521143
"Wave_664",0.158257704508838
"Wave_665",0.143420824551517
"Wave_666",0.129844073955338
"Wave_667",0.118678891350765
"Wave_668",0.108199881527748
"Wave_669",0.0989292392778758
"Wave_670",0.0921079651074154
"Wave_671",0.0801953284014207
"Wave_672",0.0670775751500361
"Wave_673",0.0548207579014337
"Wave_674",0.0361071848831152
"Wave_675",0.0192540749146565
"Wave_676",-0.00126318152306393
"Wave_677",-0.0306666255584379
"Wave_678",-0.0577674641577093
"Wave_679",-0.0844208449920142
"Wave_680",-0.110089591651105
"Wave_681",-0.137054274767773
"Wave_682",-0.168046084753006
"Wave_683",-0.190976416422953
"Wave_684",-0.208312341809921
"Wave_685",-0.226949633758376
"Wave_686",-0.242187322691623
"Wave_687",-0.229621265647988
"Wave_688",-0.221378561033037
"Wave_689",-0.230514397535408
"Wave_690",-0.201098388292007
"Wave_691",-0.160919470976846
"Wave_692",-0.148073208459737
"Wave_693",-0.13245934698034
"Wave_694",-0.103597147630497
"Wave_695",-0.112127222057127
"Wave_696",-0.120368273876673
"Wave_697",-0.128792526508917
"Wave_698",-0.130998447847734
"Wave_699",-0.182472431769158
"Wave_700",-0.225633961625794
"Wave_701",-0.244447480192994
"Wave_702",-0.280541107593733
"Wave_703",-0.310604757866378
"Wave_704",-0.291864762158409
"Wave_705",-0.218821930869
"Wave_706",-0.231664632997671
"Wave_707",-0.222808913346485
"Wave_708",-0.165135301916154
"Wave_709",-0.0623523138965527
"Wave_710",-0.0531453576819238
"Wave_711",-0.02332636886478
"Wave_712",0.034063675721357
"Wave_713",0.0972589099161729
"Wave_714",0.136320908017719
"Wave_715",0.183710353955452
"Wave_716",0.204992244868999
"Wave_717",0.244171667964002
"Wave_718",0.283796561547868
"Wave_719",0.267123643904491
"Wave_720",0.260668399321642
"Wave_721",0.26882886928323
"Wave_722",0.289707347314462
"Wave_723",0.256809485314906
"Wave_724",0.221141744019653
"Wave_725",0.177523293463509
"Wave_726",0.169910967730386
"Wave_727",0.174032466945172
"Wave_728",0.149249152915958
"Wave_729",0.104375262179276
"Wave_730",0.0765622201180208
"Wave_731",0.0345674352905643
"Wave_732",0.0019371107226549
"Wave_733",-0.026424772775594
"Wave_734",-0.0394327326537784
"Wave_735",-0.0755107126657074
"Wave_736",-0.095012657448263
"Wave_737",-0.118594903796286
"Wave_738",-0.125445734917363
"Wave_739",-0.135502676300663
"Wave_740",-0.138995775596566
"Wave_741",-0.142907689506179
"Wave_742",-0.139930350616471
"Wave_743",-0.163336414565866
"Wave_744",-0.16639890230703
"Wave_745",-0.144654906103095
"Wave_746",-0.130619667417199
"Wave_747",-0.127720680817968
"Wave_748",-0.127665777738666
"Wave_749",-0.121705820236593
"Wave_750",-0.120313205040967
"Wave_751",-0.113064061336212
"Wave_752",-0.11372785916439
"Wave_753",-0.118444091802762
"Wave_754",-0.128567356164756
"Wave_755",-0.134315395217643
"Wave_756",-0.133581716351384
"Wave_757",-0.127852838632963
"Wave_758",-0.121694741106291
"Wave_759",-0.111305370039372
"Wave_760",-0.0960041807043268
"Wave_761",-0.090637410721442
"Wave_762",-0.083617283202761
"Wave_763",-0.0815989791963443
"Wave_764",-0.0828717323812063
"Wave_765",-0.0854436923266235
"Wave_766",-0.0943374975465089
"Wave_767",-0.102035584127449
"Wave_768",-0.0908523268054598
"Wave_769",-0.0894727650414745
"Wave_770",-0.0856919898350453
"Wave_771",-0.0833976354417032
"Wave_772",-0.0811148021614192
"Wave_773",-0.0784929757847819
"Wave_774",-0.0782302913610898
"Wave_775",-0.0672200849864603
"Wave_776",-0.0712144041858582
"Wave_777",-0.0635829358629278
"Wave_778",-0.0541759507980868
"Wave_779",-0.0599710456364675
"Wave_780",-0.0705604484687566
"Wave_781",-0.0713914839229837
"Wave_782",-0.0754142317382409
"Wave_783",-0.0811130085148265
"Wave_784",-0.0789049563507937
"Wave_785",-0.0763307535283533
"Wave_786",-0.0817555081515123
"Wave_787",-0.0813730782706154
"Wave_788",-0.0778659059153654
"Wave_789",-0.0808440092604477
"Wave_790",-0.0835422268104959
"Wave_791",-0.0830682612806473
"Wave_792",-0.0847061729590738
"Wave_793",-0.0884514261016402
"Wave_794",-0.089406423245395
"Wave_795",-0.0894407895827456
"Wave_796",-0.0877955359634674
"Wave_797",-0.0903587392676316
"Wave_798",-0.0981223119566423
"Wave_799",-0.0993778980505355
"Wave_800",-0.108298634637187
"Wave_801",-0.107542090552742
"Wave_802",-0.102795043169761
"Wave_803",-0.107472512307955
"Wave_804",-0.101710717517719
"Wave_805",-0.104108476950015
"Wave_806",-0.106968473105247
"Wave_807",-0.105287209462901
"Wave_808",-0.108704221947525
"Wave_809",-0.109660702757782
"Wave_810",-0.0991376546220705
"Wave_811",-0.0917341749763866
"Wave_812",-0.09296995814416
"Wave_813",-0.08706919510912
"Wave_814",-0.0886205128263754
"Wave_815",-0.0900904135122552
"Wave_816",-0.0797383760678682
"Wave_817",-0.088004125401616
"Wave_818",-0.0942786351175742
"Wave_819",-0.0893549054962678
"Wave_820",-0.0917815758558619
"Wave_821",-0.0948729729099658
"Wave_822",-0.0950437592290734
"Wave_823",-0.0824515017023005
